,Z0,Z1,Z2,Z3,Z4,V0,V1,W0,W1,W2,H0,H1,D,Y
0,3.2586882,-7.8981214,-7.0105467,4.0261464,0.37471005,2.0652575,1.5853629,1.497708,2.2331014,1.9743453,1.1569448,-0.44791508,6.2542014,8.016299
1,-2.2928038,6.1050787,3.507048,-4.75005,-2.3571167,-1.2653005,-0.16621156,-0.54446286,-1.1968029,-2.4101489,-0.39076102,0.16285716,-3.3025913,-3.8344622
2,-4.292573,5.4926534,4.8804765,-1.1514381,0.49963903,-3.681241,-0.61732846,-1.638654,-1.2624526,-0.4910478,-0.9515871,-0.088004746,-7.3693786,-9.094318
3,2.805742,-4.73912,-3.8446367,1.7085956,-0.18678476,0.64675117,0.19832322,1.061314,2.2180145,0.6912211,0.20057711,-0.14319968,3.2281096,3.6971984
4,-1.5886835,2.0789142,1.4647923,-0.29507282,0.37736893,-0.10005647,0.26148206,-0.34630468,-1.3335137,-0.05641114,-1.0685681,0.101569556,-1.6822135,-0.868906
5,0.6741382,-0.6850144,-1.7286727,-0.28773567,-0.7997898,0.33887154,0.6417439,1.015181,0.5366827,-0.3033952,-0.052914113,0.19936329,1.3246369,2.1593142
6,-0.7415645,2.4937193,2.1099315,-1.0124918,0.13015017,-1.049318,-0.64888847,0.18070754,-0.38691822,-0.66537803,0.0611307,0.33914816,-0.93493664,-0.83344406
7,2.766507,-3.2358315,0.05024281,1.7312827,1.7283416,2.5018268,-1.3839384,-0.56593716,-0.010930389,1.0581393,0.14743805,-1.0745168,-1.6517917,-2.529455
8,-1.4359041,4.1392293,3.8315609,-1.9859399,0.28261194,0.8276196,-0.6319572,-0.8315885,-2.4091733,-0.8286814,-0.9324594,-1.1649597,-6.20244,-8.151228
9,-1.697998,6.630739,5.1787095,-4.9280457,-1.6563109,-1.0360092,-1.2782862,-0.80151904,-1.4449089,-2.512252,-1.8297236,-0.43602777,-8.764312,-12.368722
10,2.0361362,-3.562039,-3.4077082,-0.14779404,-1.3722144,3.1741827,1.0313625,-0.3238145,0.2763372,0.2479998,0.7918451,-1.0554862,1.9195577,0.1718626
11,-0.82691765,-0.83429074,-0.3085929,0.92887235,0.30868974,-0.007243976,0.41168872,-1.0600842,-0.2451384,0.7366999,-0.193937,0.34113425,0.18527824,-0.5321857
12,-0.7103552,4.20062,3.5299237,-4.486005,-2.0613835,0.39431807,-0.93698144,-1.5161122,-1.1383433,-2.0265508,0.47316372,-0.7234046,-4.3285093,-3.690573
13,-1.2846501,3.2414434,3.3808208,-1.2424929,0.3786399,-1.1149505,-1.0206409,-0.6438594,-0.88551474,-0.6348757,-0.18415271,0.23715739,-0.9798225,-1.2294958
14,1.0471296,-2.4480767,1.2848958,3.5999687,3.2106688,-1.3957254,-1.956868,-0.4007612,1.0436597,1.7144656,-0.38509324,-1.7177669,-3.3111296,-6.391757
15,0.9272666,-3.6362572,-4.015307,2.809498,0.5716444,-0.06575799,1.2682345,1.6281292,1.322238,1.1795374,-1.0498073,0.62664837,2.7926888,0.72976243
16,-2.0931711,-0.89829826,-2.2243135,0.69164044,-0.987117,-0.89168787,1.9194045,-0.89511585,0.17372644,0.6341153,-0.45894268,1.170483,2.5949674,2.635618
17,2.6959019,-1.1367731,-0.27407202,-1.0470896,-0.36142728,2.8765752,-0.7162061,0.35406026,-0.20817454,-0.50069267,1.809614,0.16214852,2.098886,5.1628647
18,-1.5469186,0.8773578,-0.75030136,-1.1078522,-1.5959736,-1.2003384,1.046833,-0.46471417,0.3113071,-0.46747935,-0.75242746,0.46214384,0.15737271,-0.15505785
19,0.7511361,1.676095,1.2850056,-3.067127,-1.5929986,1.9180112,-0.42913675,-0.617587,-0.8840586,-1.3645924,-0.2906439,0.08575369,-1.798106,-2.2840323
20,-1.8267922,3.5661085,3.0259354,-1.5258987,-0.039574184,-1.0295794,-0.48288032,-0.7037562,-1.1427217,-0.72292566,-0.055863928,-0.28103986,-4.0206466,-3.180327
21,0.5492007,-0.3149729,0.830337,0.5703111,0.98849964,1.064033,-0.56490827,-0.2925475,-0.65266335,0.38138425,0.16934602,0.7405838,2.4558592,3.8795257
22,-0.75376105,2.6354084,3.5163107,0.27966446,1.8265474,-1.2642367,-1.4600401,0.14915697,-0.8095832,-0.060295656,-1.1424987,-0.7472405,-5.062653,-6.887382
23,-0.9172712,-1.7339468,-4.352397,-0.006833812,-2.086193,0.5026612,2.7544072,0.3271469,0.39816952,0.15116471,-1.0096812,0.10744931,3.148849,2.5452218
24,-0.26721528,-1.1121082,-2.856499,-0.41126695,-1.4987268,1.6527175,1.9346957,0.09959856,-0.4017307,0.0034889905,-0.10278895,-0.3075924,2.7691712,3.8103714
25,0.62897885,-0.30330718,-0.9153347,0.29479,0.08561201,0.040762037,0.21070285,1.2674755,0.33784425,-0.10386698,0.46077996,0.1370876,2.4042485,2.796095
26,-1.945888,3.7907789,3.605561,-0.7995978,0.7815314,-1.8228554,-0.87704766,-0.3584449,-0.9946069,-0.49718797,-0.2729266,-0.3374065,-3.290923,-4.9953523
27,0.32440597,2.5320425,5.34174,-0.2684519,2.143045,-1.0849435,-3.0383592,-0.8475546,-0.5396902,-0.23477039,0.04640861,-1.6578053,-9.275153,-11.020062
28,0.56210524,-5.611708,-4.883877,3.187835,-0.062344052,-0.08703017,1.5433768,-0.41696098,1.8682894,1.827384,0.14893064,0.5562487,5.3464675,5.975595
29,1.1881309,-3.5208879,-0.89769125,3.9930716,2.671312,-0.959846,-0.8420361,0.40104884,1.3083291,1.849245,-0.7478902,-0.5949728,-1.9040097,-4.353753
30,-0.7812291,-1.8267993,-1.06478,4.379059,2.6006732,-4.122114,-0.1592611,1.5154126,2.0270348,1.6726464,-2.04867,-0.052937336,-1.8846272,-4.8314023
31,-0.6952314,4.623388,5.7336054,-3.8878615,-0.64999026,0.5369444,-2.1186779,-2.3996134,-1.7871782,-1.6017475,1.5845585,-1.3059494,-6.3077254,-5.0576296
32,-2.2315803,2.0939136,-0.09057479,-1.8481702,-1.7993857,-0.3051368,1.3954539,-0.8072291,-0.84146297,-0.6920091,-0.07049573,0.582137,-0.20019108,0.15985659
33,-1.7443954,3.5930116,3.62065,-1.1233877,0.44195354,-2.0137346,-1.070366,-0.6375186,-0.6336469,-0.6316619,-2.132237,-1.1830943,-6.3801193,-9.895346
34,2.1794581,-1.9021438,-0.059311878,1.214443,1.22191,0.5845243,-1.1998303,0.62310886,0.75867254,0.43526593,0.8166406,-0.6209839,-0.35033166,0.4054166
35,-0.949762,0.82627046,0.7001912,-1.6277761,-1.2222308,1.0923179,0.38094074,-1.8896784,-1.0131353,-0.3383529,0.745919,1.2995075,1.2803899,3.6131196
36,-1.3804519,2.715804,1.6678256,-0.05829676,0.748777,-1.5607252,-0.13014284,0.97312105,-0.57379484,-0.3336926,-0.63952625,-0.5058803,-2.0785663,-4.5166864
37,-0.41550082,-1.595647,-2.0677629,0.50530076,-0.6737917,0.7748853,1.2677494,-0.575295,-0.04090959,0.5198021,1.7634072,1.7179863,5.444418,9.770732
